№	Код параметра	Наименование параметра настройки	Тип	Значение	Наименование модуля	№ модуля
170	B1MC02RSP  (ЭСППЗУ)	Стартовая координата штока ББ2	Вещ.	0.000167676	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
171	B1MV01RSP  (ЭСППЗУ)	Стартовая скорость движения  ББ2	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
172	B1MV02RSP  (ЭСППЗУ)	Стартовая скорость движения  ББ2	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	229 MODEL
173	A1UC05RIM  (ЭСППЗУ)	Координата переднего аварийного выключателя ББ мм	Вещ.	100	FSUBO - Модуль вычитания вещественных параметров	244 MODEL
174	B2MC01RC1  (ЭСППЗУ)	Заданная координата РБ2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
175	B2MC02RC1  (ЭСППЗУ)	Заданная координата штока РБ2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
176	B2MV01RC1  (ЭСППЗУ)	Заданная скорость движения  РБ2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
177	B2MV02RC1  (ЭСППЗУ)	Заданная скорость движения штока РБ2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
178	R0UV84RDU  (ЭСППЗУ)	5-я частота двигателя (шагов/секунду)	Вещ.	400	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
179	R0UV83RDU  (ЭСППЗУ)	4-я частота двигателя (шагов/секунду)	Вещ.	300	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
180	R0UV85RDU  (ЭСППЗУ)	6-я скорость перемещения ББ (шагов/секунду)	Вещ.	500	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
181	R0UV87RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	750	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
182	R0UV86RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	600	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
183	R0UV81RDU  (ЭСППЗУ)	1-я частота двигателя (шагов/секунду)	Вещ.	100	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
184	R0UV82RDU  (ЭСППЗУ)	3-я частота двигателя (шагов/секунду)	Вещ.	200	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
185	A2UC02RDU  (ЭСППЗУ)	Коэффициент преобразования частоты двигателя РБ в скорость мм/с	Вещ.	0.002375	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
186	A2UP02RIM  (ЭСППЗУ)	Текущее давление на подъём РБ	Вещ.	0.45	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
187	A2UP01RIM  (ЭСППЗУ)	Текущее давление на сброс РБ	Вещ.	0.245	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
188	A2UG01RDU  (ЭСППЗУ)	Расстояние включения масляного демпфера РБ	Вещ.	20.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
189	A2US07RDU  (ЭСППЗУ)	Постоянная времени масляного демпфера РБ	Вещ.	5.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
190	A2UV02RIM  (ЭСППЗУ)	Ускорение сброса РБ от пневматики - g (мм/с^2)	Вещ.	12750.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
191	TERRB2  (ЭСППЗУ)	Неисправности  РБ2	Цел.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
192	A2UC04RIM  (ЭСППЗУ)	Координата промежуточного путевого выключателя РБ мм	Вещ.	80	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
193	A2UC05RIM  (ЭСППЗУ)	Координата переднего аварийного выключателя РБ мм	Вещ.	100	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
194	A2UC06RIM  (ЭСППЗУ)	Координата заднего аварийного выключателя РБ мм	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
195	A2UC08RIM  (ЭСППЗУ)	Зона срабатывания КВ  РБ мм	Вещ.	0.01	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
196	B2MC01RSP  (ЭСППЗУ)	Стартовая координата  РБ2	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
197	B2MC02RSP  (ЭСППЗУ)	Стартовая координата штока РБ2	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
198	B2MV01RSP  (ЭСППЗУ)	Стартовая скорость движения  РБ2	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
199	B2MV02RSP  (ЭСППЗУ)	Стартовая скорость движения  РБ2	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	267 MODEL
200	A2UC05RIM  (ЭСППЗУ)	Координата переднего аварийного выключателя РБ мм	Вещ.	100	FSUBO - Модуль вычитания вещественных параметров	285 MODEL
201	B3MC01RC1  (ЭСППЗУ)	Заданная координата ИС2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
202	B3MC02RC1  (ЭСППЗУ)	Заданная координата штока ИС2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
203	B3MV01RC1  (ЭСППЗУ)	Заданная скорость движения ИС2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
204	B3MV02RC1  (ЭСППЗУ)	Заданная скорость движения штока ИС2 от ИС	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
205	R0UV85RDU  (ЭСППЗУ)	6-я скорость перемещения ББ (шагов/секунду)	Вещ.	500	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
206	R0UV84RDU  (ЭСППЗУ)	5-я частота двигателя (шагов/секунду)	Вещ.	400	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
207	R0UV87RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	750	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
208	R0UV86RDU  (ЭСППЗУ)	7-я скорость перемещения ББ (шагов/секунду)	Вещ.	600	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
209	R0UV81RDU  (ЭСППЗУ)	1-я частота двигателя (шагов/секунду)	Вещ.	100	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
210	R0UV83RDU  (ЭСППЗУ)	4-я частота двигателя (шагов/секунду)	Вещ.	300	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
211	R0UV82RDU  (ЭСППЗУ)	3-я частота двигателя (шагов/секунду)	Вещ.	200	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
212	A3UC02RDU  (ЭСППЗУ)	Коэффициент преобразования частоты двигателя ИС в скорость мм/с	Вещ.	0.001675	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
213	A3UP01RIM  (ЭСППЗУ)	Текущее давление на СПУСК ИС	Вещ.	0.13	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
214	A3UG01RDU  (ЭСППЗУ)	Расстояние включения масляного демпфера ИС	Вещ.	20.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
215	A3US07RDU  (ЭСППЗУ)	Постоянная времени масляного демпфера ИС	Вещ.	5.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
216	A3UV02RIM  (ЭСППЗУ)	Ускорение сброса ИС от пневматики - g (мм/с^2)	Вещ.	22975.0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
217	TERIS2  (ЭСППЗУ)	Неисправности  ИС2	Цел.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
218	A3UC04RIM  (ЭСППЗУ)	Координата промежуточного путевого выключателя ИС мм	Вещ.	200	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
219	A3UC05RIM  (ЭСППЗУ)	Координата переднего аварийного выключателя ИС мм	Вещ.	165	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
220	A3UC06RIM  (ЭСППЗУ)	Координата заднего аварийного выключателя ИС мм	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
221	A3UC08RIM  (ЭСППЗУ)	Зона срабатывания КВ ИС(мм)	Вещ.	0.01	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
222	B3MC01RSP  (ЭСППЗУ)	Стартовая координата  ИС2	Вещ.	0.000885839	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
223	B3MC02RSP  (ЭСППЗУ)	Стартовая координата штока ИС2	Вещ.	0.000885839	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
224	B3MV01RSP  (ЭСППЗУ)	Стартовая скорость движения  ИС2	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
225	B3MV02RSP  (ЭСППЗУ)	Стартовая скорость движения  ИС2	Вещ.	0	ORRSIM - Модель перемещения ОРР с шаговым двигателем	300 MODEL
226	TERB3SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ ИС2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	321 MODEL
227	TERA3SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ ИС1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	322 MODEL
228	TERB3SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ ИС2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	323 MODEL
229	TERA3SC01RIM  (ЭСППЗУ)	Искажение: Координата штока ИС1	Цел.	0	TO3VAL - модель размножения вещественного сигнала	325 MODEL
230	A3UC03RDU  (ЭСППЗУ)	Коэффициент преобразования показания энкодера ИС, дел.энкодера/мм	Вещ.	0.00009765625	KTOENC - Модуль преобразования координаты в показания энкодера	329 MODEL
231	TERB3SC01RIM  (ЭСППЗУ)	Искажение: Координата штока ИС2	Цел.	0	TO3VAL - модель размножения вещественного сигнала	335 MODEL
232	A3UC03RDU  (ЭСППЗУ)	Коэффициент преобразования показания энкодера ИС, дел.энкодера/мм	Вещ.	0.00009765625	KTOENC - Модуль преобразования координаты в показания энкодера	336 MODEL
233	TERA3SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ ИС1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	337 MODEL
234	TERA3SS22LIM  (ЭСППЗУ)	Искажение: Приход на НУП ИС1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	338 MODEL
235	TERB3SS22LIM  (ЭСППЗУ)	Искажение: Приход на НУП ИС2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	339 MODEL
236	TERA3SS33LIM  (ЭСППЗУ)	Искажение: Клапан «ВЫСТРЕЛ ИС1»  открыт (обесточен)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	349 MODEL
237	TERA3SS31LIM  (ЭСППЗУ)	Искажение: Клапан «СПУСК ИС1»  открыт (обесточен)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	350 MODEL
238	TERB3SS31LIM  (ЭСППЗУ)	Искажение: Клапан «СПУСК ИС2»  открыт (обесточен)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	351 MODEL
239	TERB3SS33LIM  (ЭСППЗУ)	Искажение: Клапан «ВЫСТРЕЛ ИС2»  открыт (обесточен)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	352 MODEL
240	R8AD10LC1  (ЭСППЗУ)	Установить аварийный НИ от ИС	Лог.	1	ANDN - Модуль 'Логический элемент И'	357 MODEL
241	R8AD10LC1  (ЭСППЗУ)	Установить аварийный НИ от ИС	Лог.	1	ANDN - Модуль 'Логический элемент И'	357 MODEL
242	B8MC01RC1  (ЭСППЗУ)	Заданная координата АЗ2 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
243	B8MV01RC1  (ЭСППЗУ)	Заданная скорость АЗ2 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
244	B8UV80RDU  (ЭСППЗУ)	Номинальная скорость АЗ2 (мм/с)	Вещ.	10.91	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
245	B8US80RDU  (ЭСППЗУ)	Тормозной путь АЗ2 (мм)	Вещ.	20	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
246	TERMAZ2  (ЭСППЗУ)	Неисправности АЗ2 от ИС	Цел.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
247	B8UC10RIM  (ЭСППЗУ)	Координата нижних механических упоров АЗ2 мм	Вещ.	1500.0	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
248	B8UC20RIM  (ЭСППЗУ)	Координата верхних механических упоров АЗ2 мм	Вещ.	390.0	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
249	B8UC11RIM  (ЭСППЗУ)	Координата нижнего путевого выключателя АЗ2 мм	Вещ.	2000.0	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
250	B8UC21RIM  (ЭСППЗУ)	Координата верхнего путевого выключателя АЗ2 мм	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
251	B8UC08RDU  (ЭСППЗУ)	Зона срабатывания КВ АЗ2(мм)	Вещ.	0.50	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
252	B8MC01RSP  (ЭСППЗУ)	Стартовая координата АЗ2	Вещ.	390	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
253	B8MV01RSP  (ЭСППЗУ)	Стартовая скорость АЗ2	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	366 MODEL
254	R7UY00RSS  (ЭСППЗУ)	Y-координата АЗ1 см	Вещ.	506.6	FSUBO - Модуль вычитания вещественных параметров	373 MODEL
255	A8MC01RC1  (ЭСППЗУ)	Заданная координата ДС2 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
256	A8MV01RC1  (ЭСППЗУ)	Заданная скорость ДС2 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
257	A8UV80RDU  (ЭСППЗУ)	Номинальная скорость ДС2 (мм/с)	Вещ.	10.91	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
258	A8US80RDU  (ЭСППЗУ)	Тормозной путь ДС2 (мм)	Вещ.	20	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
259	TERDS2  (ЭСППЗУ)	Неисправности ДС2 от ИС	Цел.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
260	A8UC10RIM  (ЭСППЗУ)	Координата нижних механических упоров ДС2 мм	Вещ.	1500.0	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
261	A8UC20RIM  (ЭСППЗУ)	Координата верхних механических упоров ДС2 мм	Вещ.	390.0	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
262	A8UC11RIM  (ЭСППЗУ)	Координата нижнего путевого выключателя ДС2 мм	Вещ.	2000	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
263	A8UC21RIM  (ЭСППЗУ)	Координата верхнего путевого выключателя ДС2 мм	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
264	A8UC08RDU  (ЭСППЗУ)	Зона срабатывания КВ ДС2(мм)	Вещ.	0.50	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
265	A8MC01RSP  (ЭСППЗУ)	Стартовая координата ДС2	Вещ.	390	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
266	A8MV01RSP  (ЭСППЗУ)	Стартовая скорость ДС2	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	383 MODEL
267	A6MC01RC1  (ЭСППЗУ)	Заданная координата БЗ1 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	399 MODEL
268	A6MV01RC1  (ЭСППЗУ)	Заданная скорость БЗ1 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	399 MODEL
269	A6US80RDU  (ЭСППЗУ)	Тормозной путь БЗ (мм)	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	399 MODEL
270	TERBZ1  (ЭСППЗУ)	Неисправности БЗ1	Цел.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	399 MODEL
271	A6UC10RIM  (ЭСППЗУ)	Время полного хода БЗ (сек)	Вещ.	55.0	ASMOT - Модель перемещения механизма с шаговым двигателем	399 MODEL
272	A6MC01RSP  (ЭСППЗУ)	Стартовая координата БЗ1	Вещ.	55	ASMOT - Модель перемещения механизма с шаговым двигателем	399 MODEL
273	A6MV01RSP  (ЭСППЗУ)	Стартовая скорость БЗ1	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	399 MODEL
274	TERB2SS33LIM  (ЭСППЗУ)	Искажение: Клапан «Подъём РБ2»  открыт (обесточен)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	411 MODEL
275	TERB2SS12LIM  (ЭСППЗУ)	Искажение: Магнит РБ2 зацеплен	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	412 MODEL
276	TERB2SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ РБ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	413 MODEL
277	TERB2SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ РБ2	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	414 MODEL
278	TERB2SC01RIM  (ЭСППЗУ)	Искажение: Координата штока РБ2	Цел.	0	TO3VAL - модель размножения вещественного сигнала	415 MODEL
279	A2UC03RDU  (ЭСППЗУ)	Коэффициент преобразования показания энкодера РБ, дел.энкодера/мм	Вещ.	0.00009765625	KTOENC - Модуль преобразования координаты в показания энкодера	421 MODEL
280	TERA2SC01RIM  (ЭСППЗУ)	Искажение: Координата штока РБ1	Цел.	0	TO3VAL - модель размножения вещественного сигнала	429 MODEL
281	TERA2SS21LIM  (ЭСППЗУ)	Искажение: Приход на НУ РБ1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	430 MODEL
282	TERA2SS11LIM  (ЭСППЗУ)	Искажение: Приход на ВУ РБ1	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	431 MODEL
283	TERA2SS12LIM  (ЭСППЗУ)	Искажение: Магнит РБ1 зацеплен	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	432 MODEL
284	TERA2SS33LIM  (ЭСППЗУ)	Искажение: Клапан «Подъём РБ1»  открыт (обесточен)	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	433 MODEL
285	A2UC03RDU  (ЭСППЗУ)	Коэффициент преобразования показания энкодера РБ, дел.энкодера/мм	Вещ.	0.00009765625	KTOENC - Модуль преобразования координаты в показания энкодера	434 MODEL
286	R1MC01RC1  (ЭСППЗУ)	Заданная координата МДЗ1 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	448 MODEL
287	R1MV01RC1  (ЭСППЗУ)	Заданная скорость МДЗ1 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	448 MODEL
288	TERMDZ1  (ЭСППЗУ)	Неисправности МДЗ1	Цел.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	448 MODEL
289	R1UC10RIM  (ЭСППЗУ)	Время полного хода МДЗ сек	Вещ.	15.0	ASMOT - Модель перемещения механизма с шаговым двигателем	448 MODEL
290	R1MC01RSP  (ЭСППЗУ)	Стартовая координата МДЗ1	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	448 MODEL
291	R1MV01RSP  (ЭСППЗУ)	Стартовая скорость МДЗ1	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	448 MODEL
292	R2MC01RC1  (ЭСППЗУ)	Заданная координата МДЗ2 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	463 MODEL
293	R2MV01RC1  (ЭСППЗУ)	Заданная скорость МДЗ2 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	463 MODEL
294	TERMDZ2  (ЭСППЗУ)	Неисправности МДЗ2	Цел.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	463 MODEL
295	R1UC10RIM  (ЭСППЗУ)	Время полного хода МДЗ сек	Вещ.	15.0	ASMOT - Модель перемещения механизма с шаговым двигателем	463 MODEL
296	R2MC01RSP  (ЭСППЗУ)	Стартовая координата МДЗ2	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	463 MODEL
297	R2MV01RSP  (ЭСППЗУ)	Стартовая скорость МДЗ2	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	463 MODEL
298	R3AD10LC1  (ЭСППЗУ)	Гомогенные двери-1 открыть от ИС	Лог.	0	RS - Модуль 'RS-триггер' с приоритетом сброса	474 MODEL
299	R3AD20LC1  (ЭСППЗУ)	Гомогенные двери-1 закрыть от ИС	Лог.	1	RS - Модуль 'RS-триггер' с приоритетом сброса	475 MODEL
300	R6AD10LC1  (ЭСППЗУ)	Выкатить кран-балку от ИС	Лог.	0	NOTO - Модуль 'Логический элемент НЕ'	476 MODEL
301	R3UL10RIM  (ЭСППЗУ)	Время полного хода гомогенных дверей (сек)	Вещ.	15.0	ASMOT - Модель перемещения механизма с шаговым двигателем	479 MODEL
302	R3UC01RSP  (ЭСППЗУ)	Стартовая координата Гомогенных дверей	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	479 MODEL
303	R3UV01RSP  (ЭСППЗУ)	Стартовая скорость Гомогенных дверей	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	479 MODEL
304	R6AD10LC1  (ЭСППЗУ)	Выкатить кран-балку от ИС	Лог.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	480 MODEL
305	R6UL10RIM  (ЭСППЗУ)	Время полного хода кран-балки сек	Вещ.	10.0	ASMOT - Модель перемещения механизма с шаговым двигателем	480 MODEL
306	R6UC01RSP  (ЭСППЗУ)	Стартовая координата Кран-балки	Вещ.	10	ASMOT - Модель перемещения механизма с шаговым двигателем	480 MODEL
307	R6UV01RSP  (ЭСППЗУ)	Стартовая скорость Кран-балки	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	480 MODEL
308	R5AD10LC1  (ЭСППЗУ)	Открыть ворота отстойной зоны от ИС	Лог.	1	RS - Модуль 'RS-триггер' с приоритетом сброса	488 MODEL
309	R5AD20LC1  (ЭСППЗУ)	Закрыть ворота отстойной зоны от ИС	Лог.	0	RS - Модуль 'RS-триггер' с приоритетом сброса	489 MODEL
310	R5UL10RIM  (ЭСППЗУ)	Время полного хода ворот отстойной зоны (дес. мс)	Вещ.	20.0	ASMOT - Модель перемещения механизма с шаговым двигателем	492 MODEL
311	R5UC01RSP  (ЭСППЗУ)	Стартовая координата Ворот отстойной зоны	Вещ.	4000.0	ASMOT - Модель перемещения механизма с шаговым двигателем	492 MODEL
312	R5UV01RSP  (ЭСППЗУ)	Стартовая скорость Ворот отстойной зоны	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	492 MODEL
313	B6MC01RC1  (ЭСППЗУ)	Заданная координата БЗ2 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	504 MODEL
314	B6MV01RC1  (ЭСППЗУ)	Заданная скорость БЗ2 от ИС	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	504 MODEL
315	A6US80RDU  (ЭСППЗУ)	Тормозной путь БЗ (мм)	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	504 MODEL
316	TERBZ2  (ЭСППЗУ)	Неисправности БЗ2	Цел.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	504 MODEL
317	A6UC10RIM  (ЭСППЗУ)	Время полного хода БЗ (сек)	Вещ.	55.0	ASMOT - Модель перемещения механизма с шаговым двигателем	504 MODEL
318	B6MC01RSP  (ЭСППЗУ)	Стартовая координата БЗ2	Вещ.	55	ASMOT - Модель перемещения механизма с шаговым двигателем	504 MODEL
319	B6MV01RSP  (ЭСППЗУ)	Стартовая скорость БЗ2	Вещ.	0	ASMOT - Модель перемещения механизма с шаговым двигателем	504 MODEL
320	A3UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс ИС	Вещ.	1.6	TO3VAL - модель размножения вещественного сигнала	517 MODEL
321	A3UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс ИС	Вещ.	1.6	TO3VAL - модель размножения вещественного сигнала	517 MODEL
322	TERA3SP02RIM  (ЭСППЗУ)	Искажение: Текущее давление на ВЫСТРЕЛ ИС1	Цел.	0	TO3VAL - модель размножения вещественного сигнала	517 MODEL
323	A3UP02RDU  (ЭСППЗУ)	Текущее давление ВЫСТРЕЛ ИС	Вещ.	0.41	LK - Модуль 'Логический клапан' для вещественного параметра	518 MODEL
324	A3UP02RDU  (ЭСППЗУ)	Текущее давление ВЫСТРЕЛ ИС	Вещ.	0.41	LK - Модуль 'Логический клапан' для вещественного параметра	519 MODEL
325	A3UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс ИС	Вещ.	1.6	TO3VAL - модель размножения вещественного сигнала	520 MODEL
326	A3UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс ИС	Вещ.	1.6	TO3VAL - модель размножения вещественного сигнала	520 MODEL
327	TERB3SP02RIM  (ЭСППЗУ)	Искажение: Текущее давление на ВЫСТРЕЛ ИС2	Цел.	0	TO3VAL - модель размножения вещественного сигнала	520 MODEL
328	A3UP04RDU  (ЭСППЗУ)	Нижний предел шкалы датчика давления на подъем/сброс ИС	Вещ.	0	TOAO - Преобразование в код Fas4	524 MODEL
329	A3UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс ИС	Вещ.	1.6	TOAO - Преобразование в код Fas4	524 MODEL
330	A3UP04RDU  (ЭСППЗУ)	Нижний предел шкалы датчика давления на подъем/сброс ИС	Вещ.	0	TOAO - Преобразование в код Fas4	528 MODEL
331	A3UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс ИС	Вещ.	1.6	TOAO - Преобразование в код Fas4	528 MODEL
332	TERA1VP81LIM  (ЭСППЗУ)	Искажение: Текущее давление СБРОС ББ1  в норме	Цел.	0	TWOBOOL - Размножение логического сигнала на 2	529 MODEL
333	A2UP01RIM  (ЭСППЗУ)	Текущее давление на сброс РБ	Вещ.	0.245	TO3VAL - модель размножения вещественного сигнала	542 MODEL
334	A2UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	1.6	TO3VAL - модель размножения вещественного сигнала	542 MODEL
335	A2UP03RDU  (ЭСППЗУ)	Верхний предел шкалы датчика давления на подъем/сброс РБ	Вещ.	1.6	TO3VAL - модель размножения вещественного сигнала	542 MODEL
336	TERA2SP01RIM  (ЭСППЗУ)	Искажение: Текущее давление СБРОС РБ1	Цел.	0	TO3VAL - модель размножения вещественного сигнала	542 MODEL
